Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0532016838101188,0.0242261098910182,1.14682652147493,0,0,0,0.186774887849971,0.000346953127447042,-4.43999769224878E-06,5.03079981568357E-22,0.00031048934002632,-1.79439831910963E-20,4.06423980219236E-05,0,0,0,0,0,0,package://genos_arm/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://genos_arm/meshes/base_link.STL,,Part30_2-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1_S_aduc,0.0627185461030959,0.00105824659029907,-0.0228092393950861,0,0,0,0.194782225878589,4.10066260409285E-05,-5.09706962190601E-06,4.02340649945793E-20,0.000343005977675057,-1.38966342908909E-21,0.000380766233284676,0,0,0,0,0,0,package://genos_arm/meshes/link_1_S_aduc.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://genos_arm/meshes/link_1_S_aduc.STL,,Part29_1-1,Origin_joint_adcu_1,Axis_joint_adcu_1,joint_adcu_1,continuous,-0.0404837030222089,0.0226998141926109,1.21224322187183,1.5707963267949,0.0108613941738253,1.4513567037453,base_link,0,0,1,,,,,,,,,,,,
link_passive_1,0.053884189687728,0.0271928860666164,0.00505224239552149,0,0,0,0.114987383770919,2.4972951246468E-05,-7.22270949824152E-19,-6.09863722023096E-20,7.97534220207357E-05,-3.88920249552187E-07,0.00010279679241092,0,0,0,0,0,0,package://genos_arm/meshes/link_passive_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://genos_arm/meshes/link_passive_1.STL,,Part2_1-2,Origin_fixed_passive_1,Axis_fixed_passive_1,fixed_passive_1,fixed,0.135,-0.0230000000000048,-0.127809239395095,-2.50253742856838,-1.57079630572147,2.50533291619349,link_1_S_aduc,0,0,0,,,,,,,,,,,,
link_2_S_flex,0.0343235035054608,-2.45997000279385E-05,0.00522934542868636,0,0,0,0.122994721799536,2.5276587294501E-05,1.94036347754068E-10,1.50610770145653E-06,9.13435806787004E-05,4.74214522220896E-09,0.000114519432792271,0,0,0,0,0,0,package://genos_arm/meshes/link_2_S_flex.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://genos_arm/meshes/link_2_S_flex.STL,,part3_1-2,Origin_joint_2_S_rev,Axis_joint_2_S_rev,joint_2_S_rev,continuous,0.0149999999999997,0.025000000000001,0.00920822889014553,0,0,-1.58291856073267,link_passive_1,0,0,1,,,,,,,,,,,,
link_2_S_passive,0.0126740440892248,-0.00599117175268329,0.126536768709444,0,0,0,0.931440212187241,0.00524234185541984,-0.000253144623704425,7.26134534202072E-05,0.0052612858432027,-4.26352332733893E-06,0.000939681273900423,0,0,0,0,0,0,package://genos_arm/meshes/link_2_S_passive.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://genos_arm/meshes/link_2_S_passive.STL,,new forearm_1-1,Origin_joint_2_passive,Axis_joint_2_passive,joint_2_passive,fixed,0.31500000000001,0.0200000000000026,0.0457917711098549,-0.0190271992194839,1.57079631189374,3.12445963243506,link_2_S_flex,0,0,0,,,,,,,,,,,,
link_2_S_passive_2,0.0559567612941825,0.024974874571406,0.0107035671967797,0,0,0,0.114987383770919,2.49950997113638E-05,-1.74014837375412E-10,1.31275792470068E-06,7.97468607547848E-05,-4.71287284918296E-09,0.000102781205211975,0,0,0,0,0,0,package://genos_arm/meshes/link_2_S_passive_2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://genos_arm/meshes/link_2_S_passive_2.STL,,Part2_1-1,Origin_joint_2_S_passive_2,Axis_joint_2_S_passive_2,joint_2_S_passive_2,fixed,0.0349999999999934,0.0450000000000108,-0.08,-1.60124963937506,-1.57079630572147,-1.54034371338239,link_2_S_passive,0,0,0,,,,,,,,,,,,
link_3_e_rev,0.0361443917164831,-0.00189872275262637,-0.00142782478082573,0,0,0,0.122994721799536,2.5251478983124E-05,1.73558005222769E-09,1.64284718566832E-07,9.13501045853309E-05,3.89025977200301E-07,0.000114538017197019,0,0,0,0,0,0,package://genos_arm/meshes/link_3_e_rev.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://genos_arm/meshes/link_3_e_rev.STL,,part3_1-1,Origin_joint_3_rev,Axis_joint_3_rev,joint_3_rev,continuous,0.015,0.025,0,-3.14159265358979,0,-1.69219555052437,link_2_S_passive_2,0,0,1,,,,,,,,,,,,
link_3_e_passive,0.0166610782499463,-0.00461636487324657,0.125152879605984,0,0,0,0.93144021218724,0.0052519441776418,-0.000253334746689582,7.93247116484849E-06,0.00525289403762183,-3.99544603221234E-07,0.000938470757259322,0,0,0,0,0,0,package://genos_arm/meshes/link_3_e_passive.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://genos_arm/meshes/link_3_e_passive.STL,,new forearm_1-2,Origin_joint_3_e_passive,Axis_joint_3_e_passive,joint_3_e_passive,fixed,0.315000000000001,0.0199999999999961,0.0449999999999976,3.14159265358979,1.5707963267949,0,link_3_e_rev,0,0,0,,,,,,,,,,,,
